Complex,E2_gene_name,E3_gene_name,E2_uniprot,E3_uniprot,UB_I44_E2_distance(angstrom),Ub_Cterm_Cys_distance(angstrom),dG_AB,dG_AC,dG_BC,dSASA_AB,dSASA_AC,dSASA_BC,dSASA_hphobic_AB,dSASA_hphobic_AC,dSASA_hphobic_BC,dSASA_polar_AB,dSASA_polar_AC,dSASA_polar_BC,ipSAE_AB,ipSAE_AC,ipSAE_BC,linchpin,maxPAE_AB,maxPAE_AC,maxPAE_BC,meanPAE_AB,meanPAE_AC,meanPAE_BC,minPAE_AB,minPAE_AC,minPAE_BC,n_hbonds_AB,n_hbonds_AC,n_hbonds_BC,n_res_AB,n_res_AC,n_res_BC,pDockQ2_AB,pDockQ2_AC,pDockQ2_BC,pDockQ_AB,pDockQ_AC,pDockQ_BC,unsat_hbonds_AB,unsat_hbonds_AC,unsat_hbonds_BC,set_id,predicted_probability,predicted_label
UB-UBE2N-RNF185,UBE2N,RNF185,P61088,Q96GF1,7.128015041351318,4.051077842712402,-49.675,-82.6,-57.229,1800.597,3014.817,2277.95,936.576,1572.751,1315.901,864.021,1442.066,962.049,0.787193,0.543139,0.739644,False,9.93,4.82,5.69,2.8,2.54,1.89,1.07,1.47,1.07,12.0,18.0,8.0,64.0,112.0,104.0,0.8165,0.6782,0.8233,0.6041,0.135,0.233,7.0,18.0,18.0,training-validation_set_nonpair,0.8896386,pair
UB-UBE2N-RNF170,UBE2N,RNF170,P61088,Q96K19,7.108881950378418,4.289524555206299,-50.73,-68.065,-56.265,1862.363,2904.372,2583.944,1157.633,1596.034,1401.112,704.73,1308.339,1182.832,0.790072,0.726455,0.780881,False,14.8,15.42,6.31,3.43,2.73,1.76,1.06,1.03,0.99,5.0,11.0,10.0,71.0,115.0,111.0,0.7734,0.6882,0.8571,0.5968,0.1936,0.2912,7.0,17.0,17.0,training-validation_set_nonpair,0.99391323,pair
UB-UBE2N-TRIM55,UBE2N,TRIM55,P61088,Q9BYV6,7.046138763427734,3.953041076660156,-46.17,-77.478,-67.943,1839.559,2665.611,2493.529,889.641,1429.412,1292.904,949.918,1236.198,1200.625,0.764401,0.645057,0.744713,True,12.89,7.04,4.56,3.19,2.63,1.8,1.18,1.14,1.14,8.0,13.0,11.0,70.0,112.0,110.0,0.7746,0.7644,0.8682,0.5839,0.2281,0.2748,6.0,16.0,18.0,training-validation_set_nonpair,0.9389637,pair
UB-UBE2N-TRIM5,UBE2N,TRIM5,P61088,Q9C035,7.0671820640563965,3.9910614490509033,-55.2,-76.904,-66.691,1998.569,2892.175,2551.956,1001.801,1571.857,1359.447,996.768,1320.318,1192.509,0.789818,0.655149,0.775472,True,12.52,8.66,8.72,2.94,2.57,1.97,1.1,1.06,1.02,10.0,15.0,11.0,71.0,115.0,108.0,0.8074,0.7582,0.7578,0.5988,0.2125,0.2536,6.0,13.0,14.0,training-validation_set_pair,0.042642225,nonpair
UB-UBE2N-RNF38,UBE2N,RNF38,P61088,Q9H0F5,7.332163333892822,3.845927238464356,-53.793,-77.401,-64.791,1904.632,2864.17,2361.78,1066.535,1630.961,1240.373,838.097,1233.209,1121.407,0.787322,0.717922,0.776049,True,17.03,4.1,3.22,3.09,1.85,1.59,1.05,1.03,1.02,8.0,13.0,13.0,67.0,114.0,105.0,0.7814,0.8211,0.8864,0.588,0.1659,0.2565,4.0,7.0,8.0,training-validation_set_pair,0.7334166,pair
UB-UBE2N-MARCHF7,UBE2N,MARCHF7,P61088,Q9H992,7.238263607025146,4.013309478759766,-44.945,-68.378,-60.628,1942.54,2901.167,2648.565,1069.084,1601.486,1432.599,873.455,1299.682,1215.966,0.770993,0.624836,0.771416,False,17.3,3.65,4.0,3.31,1.86,1.77,1.14,1.24,1.03,9.0,10.0,13.0,77.0,117.0,110.0,0.772,0.8351,0.8297,0.6014,0.3477,0.2699,6.0,18.0,17.0,training-validation_set_pair,0.99683654,pair
UB-UBE2N-TOPORS,UBE2N,TOPORS,P61088,Q9NS56,7.100415229797363,4.010961055755615,-44.481,-78.53,-60.244,1634.207,2854.843,2303.219,933.75,1598.381,1378.395,700.456,1256.461,924.825,0.744972,0.563643,0.737541,False,9.5,5.55,4.61,3.02,2.81,1.79,1.2,1.69,1.04,6.0,12.0,8.0,61.0,111.0,99.0,0.7849,0.6419,0.8612,0.5925,0.1353,0.2825,3.0,14.0,16.0,training-validation_set_nonpair,0.9938492,pair
UB-UBE2N-RNF7,UBE2N,RNF7,P61088,Q9UBF6,7.047292232513428,3.922119379043579,-42.839,-69.579,-62.505,1868.493,2919.427,2413.377,914.601,1514.357,1268.54,953.892,1405.07,1144.837,0.765863,0.606604,0.709609,False,11.2,4.95,5.96,3.1,2.44,2.0,1.11,1.4,1.12,5.0,12.0,11.0,67.0,116.0,103.0,0.7868,0.6538,0.7891,0.5927,0.1685,0.2129,10.0,21.0,16.0,training-validation_set_nonpair,0.546263,pair
UB-UBE2N-MID2,UBE2N,MID2,P61088,Q9UJV3,7.048251152038574,4.356314659118652,-42.422,-68.876,-51.728,1852.927,2816.801,2451.666,942.914,1544.795,1313.156,910.013,1272.006,1138.51,0.767477,0.650306,0.747612,False,17.3,11.05,6.69,4.12,2.87,1.86,1.15,1.14,1.11,8.0,14.0,10.0,67.0,111.0,106.0,0.6818,0.7037,0.8329,0.5569,0.1989,0.2362,10.0,13.0,13.0,training-validation_set_pair,0.101277,nonpair
UB-UBE2N-STUB1,UBE2N,STUB1,P61088,Q9UNE7,7.084259033203125,3.8754360675811768,-53.987,-84.948,-57.478,1908.479,3130.354,2266.542,1073.838,1791.515,1363.869,834.641,1338.839,902.673,0.751289,0.647733,0.780103,False,16.33,4.05,3.86,3.46,2.18,1.59,1.19,1.24,0.99,6.0,13.0,7.0,66.0,119.0,102.0,0.7461,0.7907,0.8939,0.5819,0.1044,0.3069,5.0,15.0,16.0,training-validation_set_pair,0.9491149,pair
UB-UBE2N-RNF11,UBE2N,RNF11,P61088,Q9Y3C5,7.229325294494629,4.262689113616943,-49.134,-79.183,-46.405,2005.423,3205.179,2298.01,1091.728,1731.914,1249.904,913.695,1473.265,1048.106,0.600948,0.490955,0.743786,False,19.58,7.07,19.05,4.8,3.16,4.21,1.69,2.0,1.14,9.0,15.0,6.0,81.0,123.0,102.0,0.5602,0.4722,0.3684,0.4967,0.0896,0.2959,8.0,22.0,18.0,training-validation_set_pair,0.97671974,pair
UB-UBE2N-TRAF6,UBE2N,TRAF6,P61088,Q9Y4K3,7.037517070770264,3.8794972896575928,-47.658,-75.774,-55.134,1833.215,2949.036,2475.355,989.672,1637.634,1359.572,843.543,1311.402,1115.784,0.682374,0.515442,0.753813,False,13.84,5.75,4.38,3.72,3.12,1.87,1.53,1.81,1.09,10.0,14.0,8.0,69.0,117.0,105.0,0.7094,0.6511,0.8266,0.5715,0.1608,0.3427,8.0,19.0,20.0,training-validation_set_pair,0.9700683,pair
UB-UBE2G1-BMI1,UBE2G1,BMI1,P62253,P35226,7.386859893798828,4.944210052490234,-19.858,-75.877,-57.824,1249.734,3339.703,2216.707,667.012,1892.383,1275.083,582.722,1447.32,941.624,0.640681,0.230698,0.477799,False,23.44,4.76,14.93,5.53,3.88,4.46,1.71,3.27,2.09,2.0,14.0,12.0,56.0,125.0,88.0,0.426,0.2287,0.4058,0.4984,0.0198,0.1774,4.0,17.0,14.0,training-validation_set_nonpair,0.01862575,nonpair
UB-UBE2G1-RBX1,UBE2G1,RBX1,P62253,P62877,7.2599196434021,4.676131248474121,-59.977,-78.239,-57.689,2650.824,3464.3,2894.79,1462.529,2071.035,1450.965,1188.295,1393.265,1443.825,0.746352,0.613459,0.770281,False,20.34,24.34,20.86,4.3,4.75,3.03,1.41,1.46,1.08,8.0,13.0,13.0,90.0,128.0,110.0,0.5897,0.3863,0.7211,0.5267,0.1602,0.3292,13.0,21.0,19.0,training-validation_set_pair,0.65824914,pair
UB-UBE2G1-RNF4,UBE2G1,RNF4,P62253,P78317,7.047131061553955,4.74338436126709,-51.084,-71.511,-54.445,1923.278,3264.539,2351.498,1196.543,1873.204,1227.493,726.736,1391.335,1124.005,0.731526,0.578568,0.72375,True,20.52,4.54,17.81,4.63,2.49,4.03,1.39,1.41,1.2,8.0,11.0,11.0,74.0,124.0,101.0,0.498,0.6974,0.5388,0.4643,0.1061,0.2691,13.0,23.0,18.0,training-validation_set_nonpair,0.33151093,nonpair
UB-UBE2G1-MAP3K1,UBE2G1,MAP3K1,P62253,Q13233,7.429535865783691,4.921941757202148,125.004,59.577,-30.876,3047.269,4455.343,2603.862,1746.97,2629.216,1337.077,1300.299,1826.127,1266.785,0.200301,0.0,0.0,False,23.83,28.17,28.8,11.39,25.57,25.75,5.66,22.83,21.09,10.0,16.0,12.0,103.0,153.0,105.0,0.0433,0.0097,0.0099,0.3444,0.071,0.3344,34.0,48.0,29.0,training-validation_set_nonpair,0.06622092,nonpair
UB-UBE2G1-MARCHF8,UBE2G1,MARCHF8,P62253,Q5T0T0,7.123219966888428,4.554745674133301,-44.275,-73.329,-65.396,2034.043,3239.212,2607.943,1270.093,2009.244,1495.605,763.949,1229.968,1112.338,0.756448,0.570569,0.752238,False,20.91,21.78,8.05,4.11,3.34,2.96,1.3,1.7,1.07,6.0,14.0,16.0,78.0,124.0,107.0,0.5919,0.6218,0.7052,0.5329,0.1596,0.309,7.0,16.0,14.0,training-validation_set_nonpair,0.8844162,pair
UB-UBE2G1-UBR3,UBE2G1,UBR3,P62253,Q6ZT12,7.196273326873779,5.364125728607178,-53.698,-51.891,-54.146,2798.948,3587.34,2689.927,1477.969,2098.387,1403.802,1320.978,1488.953,1286.124,0.6154,0.713475,0.682553,True,25.91,23.17,24.56,6.03,4.43,7.2,1.99,1.51,1.58,11.0,11.0,14.0,96.0,137.0,112.0,0.3449,0.5384,0.1958,0.4028,0.1592,0.1899,17.0,33.0,26.0,training-validation_set_nonpair,0.0029327967,nonpair
UB-UBE2G1-DTX2,UBE2G1,DTX2,P62253,Q86UW9,7.328956604003906,4.882328510284424,-32.517,-72.843,-46.955,2311.11,3944.53,2377.935,1443.839,2285.389,1316.086,867.27,1659.141,1061.849,0.304823,0.150442,0.308465,False,21.11,11.17,23.19,8.11,8.31,8.28,3.28,5.8,3.32,6.0,14.0,10.0,83.0,140.0,98.0,0.153,0.0906,0.1323,0.4279,0.0489,0.1692,14.0,28.0,21.0,training-validation_set_nonpair,0.34846115,nonpair
UB-UBE2G1-RNF135,UBE2G1,RNF135,P62253,Q8IUD6,7.22632360458374,4.852570056915283,-44.732,-73.301,-62.332,2182.218,3459.511,2423.109,1163.531,1911.414,1298.798,1018.687,1548.097,1124.311,0.727929,0.56222,0.620833,True,18.14,4.04,19.61,4.31,2.25,5.44,1.43,1.26,1.47,9.0,14.0,17.0,75.0,127.0,100.0,0.5812,0.6357,0.3283,0.5242,0.1233,0.2301,15.0,34.0,25.0,training-validation_set_nonpair,0.014302141,nonpair
UB-UBE2G1-DTX3,UBE2G1,DTX3,P62253,Q8N9I9,7.25279951095581,4.685136318206787,-39.169,-64.882,-50.558,1743.961,3119.036,2344.836,1079.614,1828.34,1326.539,664.347,1290.696,1018.297,0.69365,0.525187,0.730308,False,21.2,4.88,11.8,4.85,2.69,3.15,1.59,1.5,1.21,5.0,12.0,9.0,69.0,120.0,100.0,0.4778,0.6628,0.6689,0.4645,0.1035,0.2673,9.0,18.0,11.0,training-validation_set_nonpair,0.317695,nonpair
UB-UBE2G1-RFFL,UBE2G1,RFFL,P62253,Q8WZ73,7.187617301940918,5.24274492263794,-36.486,-47.033,-47.454,1748.89,2953.248,2316.783,984.915,1764.534,1283.325,763.974,1188.714,1033.458,0.675353,0.544458,0.598861,True,24.69,14.69,20.58,6.28,3.14,3.83,1.57,1.32,1.69,3.0,7.0,8.0,66.0,115.0,98.0,0.3122,0.5853,0.5333,0.4236,0.1051,0.1176,9.0,24.0,23.0,training-validation_set_nonpair,0.014295056,nonpair
UB-UBE2G1-RNF125,UBE2G1,RNF125,P62253,Q96EQ8,6.999374866485596,4.973127365112305,-53.644,-62.475,-53.682,2470.656,3717.566,2467.266,1460.269,2223.211,1396.074,1010.387,1494.355,1071.191,0.739697,0.61428,0.70846,True,25.73,4.3,19.83,4.74,2.19,3.82,1.38,1.24,1.29,12.0,15.0,13.0,84.0,137.0,103.0,0.5368,0.7743,0.5682,0.51,0.1453,0.3542,6.0,19.0,17.0,training-validation_set_nonpair,0.121256806,nonpair
UB-UBE2G1-TRIM31,UBE2G1,TRIM31,P62253,Q9BZY9,7.414085865020752,5.146615028381348,-40.801,-46.937,-39.7,2012.716,3056.826,2569.985,1121.245,1809.451,1391.89,891.471,1247.375,1178.095,0.693265,0.603459,0.738154,False,24.77,4.36,18.52,5.37,2.34,3.66,1.53,1.3,1.2,7.0,9.0,8.0,74.0,117.0,103.0,0.4108,0.7487,0.5738,0.4622,0.1746,0.1919,6.0,23.0,22.0,training-validation_set_nonpair,0.2972775,nonpair
UB-UBE2G1-TRIM2,UBE2G1,TRIM2,P62253,Q9C040,7.188056945800781,5.0543212890625,-43.786,-58.046,-49.254,2017.777,3024.137,2539.981,1169.874,1785.157,1330.796,847.902,1238.979,1209.185,0.674118,0.616008,0.672678,True,25.78,9.18,17.75,5.7,2.81,3.33,1.59,1.24,1.4,6.0,12.0,12.0,73.0,121.0,105.0,0.3921,0.7217,0.6115,0.4291,0.1105,0.1562,7.0,21.0,20.0,training-validation_set_nonpair,0.044847526,nonpair
UB-UBE2G1-MKRN2,UBE2G1,MKRN2,P62253,Q9H000,7.016969680786133,4.590505123138428,-43.336,-58.592,-44.916,2262.48,3556.592,2396.958,1384.141,2172.215,1396.291,878.338,1384.377,1000.667,0.707048,0.558459,0.733642,True,24.58,5.16,18.42,4.89,2.51,5.0,1.51,1.53,1.06,4.0,9.0,11.0,78.0,128.0,104.0,0.4284,0.7326,0.4588,0.4635,0.1161,0.2622,15.0,22.0,19.0,training-validation_set_nonpair,0.15038314,nonpair
UB-UBE2G1-FANCL,UBE2G1,FANCL,P62253,Q9NW38,7.203815460205078,4.821602821350098,-43.967,-74.372,-54.531,2322.186,3504.231,2748.595,1444.505,2155.146,1513.61,877.681,1349.085,1234.986,0.532312,0.358483,0.624286,False,20.73,6.37,16.91,5.91,3.94,4.53,2.09,2.46,1.55,5.0,13.0,12.0,86.0,130.0,112.0,0.2973,0.4105,0.4013,0.4156,0.1213,0.2269,9.0,20.0,20.0,training-validation_set_nonpair,0.10142895,nonpair
UB-UBE2G1-AMFR,UBE2G1,AMFR,P62253,Q9UKV5,7.162240982055664,4.932265758514404,-59.375,-80.69,-61.027,2078.284,3462.752,2527.189,1228.548,2066.399,1348.596,849.737,1396.353,1178.594,0.733467,0.592475,0.726247,True,19.59,18.58,14.69,4.36,3.11,3.4,1.36,1.38,1.12,8.0,13.0,15.0,73.0,126.0,103.0,0.5492,0.6766,0.6486,0.5162,0.123,0.2662,15.0,33.0,24.0,training-validation_set_pair,0.07656312,nonpair
UB-UBE2G1-TRIM33,UBE2G1,TRIM33,P62253,Q9UPN9,7.424805164337158,4.579148769378662,11.625,-43.797,-54.542,1626.943,3558.164,2357.921,886.167,1993.395,1217.663,740.777,1564.769,1140.258,0.637611,0.0,0.0,False,23.06,22.61,25.7,5.78,19.25,19.33,1.92,15.23,11.3,4.0,16.0,12.0,55.0,123.0,93.0,0.4084,0.0126,0.0133,0.4713,0.0258,0.0448,15.0,32.0,22.0,training-validation_set_nonpair,0.0055837184,nonpair
UB-UBE2G1-TRIM17,UBE2G1,TRIM17,P62253,Q9Y577,7.0565290451049805,4.841395854949951,-50.825,-71.326,-58.187,2364.166,3394.695,2811.555,1314.522,1986.312,1424.01,1049.645,1408.383,1387.545,0.776518,0.641675,0.746346,True,19.06,5.37,18.11,3.96,2.36,3.4,1.3,1.12,1.2,9.0,11.0,12.0,84.0,127.0,109.0,0.6475,0.7799,0.5466,0.5496,0.1857,0.2573,6.0,21.0,23.0,training-validation_set_nonpair,0.38150722,nonpair
UB-UBE2H-CBL,UBE2H,CBL,P62256,P22681,8.788060188293457,9.317276000976562,-32.172,-35.043,-10.13,1715.39,2513.988,1818.271,919.278,1412.904,1035.598,796.112,1101.084,782.673,0.0,0.0,0.522341,False,27.22,21.73,17.47,16.57,17.36,4.88,10.41,14.51,1.92,5.0,6.0,1.0,73.0,97.0,76.0,0.0183,0.014,0.3466,0.1223,0.033,0.1962,7.0,7.0,8.0,training-validation_set_nonpair,0.012362277,nonpair
UB-UBE2H-LRSAM1,UBE2H,LRSAM1,P62256,Q6UWE0,9.843515396118164,6.534309387207031,-25.311,-28.329,-14.391,1544.226,2401.694,1757.393,866.681,1520.593,988.731,677.545,881.101,768.662,0.280255,0.120327,0.301213,True,26.17,8.31,16.28,9.05,6.45,6.31,3.7,5.0,3.33,7.0,8.0,7.0,58.0,90.0,68.0,0.0883,0.1743,0.2358,0.1524,0.052,0.1662,5.0,13.0,11.0,training-validation_set_nonpair,0.015254308,nonpair
UB-UBE2H-BIRC7,UBE2H,BIRC7,P62256,Q96CA5,9.688737869262695,9.145925521850586,-36.123,-39.171,-26.629,1508.316,2152.404,1725.717,867.69,1342.569,993.656,640.626,809.835,732.061,0.412447,0.323753,0.495852,True,23.67,8.12,10.69,7.27,3.79,3.82,3.19,2.28,1.87,5.0,7.0,6.0,65.0,88.0,76.0,0.2296,0.5009,0.5644,0.2379,0.0682,0.2018,6.0,15.0,16.0,training-validation_set_nonpair,0.0075900597,nonpair
UB-UBE2H-RNF2,UBE2H,RNF2,P62256,Q99496,9.06185245513916,11.03652572631836,-46.465,-39.368,-26.733,2020.597,2369.778,1842.554,1134.519,1419.491,1024.927,886.078,950.287,817.627,0.187168,0.222855,0.553522,True,21.55,13.05,14.44,9.36,6.53,4.18,5.86,3.73,1.73,10.0,7.0,7.0,81.0,97.0,79.0,0.0799,0.2232,0.363,0.1602,0.08,0.1915,8.0,17.0,22.0,training-validation_set_nonpair,0.02385893,nonpair
UB-UBE2H-TRIM31,UBE2H,TRIM31,P62256,Q9BZY9,9.46513557434082,4.786111831665039,-33.82,-51.891,-37.068,1606.39,2370.596,1842.524,974.284,1439.894,1078.963,632.106,930.702,763.561,0.356708,0.287593,0.408163,False,19.16,6.26,10.28,5.32,4.32,4.59,2.33,2.81,2.42,7.0,9.0,8.0,65.0,98.0,83.0,0.3928,0.3317,0.3394,0.2862,0.058,0.1618,9.0,15.0,14.0,training-validation_set_nonpair,0.0030357477,nonpair
UB-UBE2D2-MDM4,UBE2D2,MDM4,P62837,O15151,7.307123184204102,4.492685794830322,-34.235,-65.786,-47.29,1899.74,2903.628,2531.947,1081.051,1539.122,1260.301,818.689,1364.506,1271.645,0.741996,0.626379,0.737623,False,19.09,12.54,13.26,3.71,2.95,2.13,1.33,1.24,1.17,5.0,14.0,9.0,69.0,110.0,105.0,0.7027,0.7478,0.8581,0.5503,0.1196,0.2464,6.0,23.0,24.0,training-validation_set_pair,0.91004634,pair
UB-UBE2D2-MID1,UBE2D2,MID1,P62837,O15344,7.152407646179199,4.419571399688721,-54.579,-73.158,-58.096,2066.36,2986.701,2506.309,1049.114,1560.216,1348.024,1017.246,1426.485,1158.286,0.704735,0.596991,0.757616,True,21.7,19.36,11.53,4.82,3.51,1.95,1.48,1.32,1.1,10.0,16.0,12.0,72.0,114.0,104.0,0.5626,0.6187,0.8465,0.4821,0.1975,0.2981,6.0,16.0,19.0,training-validation_set_pair,0.998251,pair
UB-UBE2D2-PJA2,UBE2D2,PJA2,P62837,O43164,7.269939422607422,3.997814178466797,-47.269,-68.663,-56.041,1818.719,2798.135,2484.978,983.721,1546.677,1265.077,834.998,1251.458,1219.901,0.764861,0.662627,0.76172,True,16.3,4.71,9.31,3.3,2.23,1.93,1.26,1.2,1.08,7.0,11.0,8.0,65.0,115.0,101.0,0.7592,0.692,0.8523,0.574,0.159,0.3018,3.0,20.0,20.0,training-validation_set_pair,0.9932689,pair
UB-UBE2D2-SIAH2,UBE2D2,SIAH2,P62837,O43255,7.150973320007324,4.025381088256836,-49.285,-73.024,-58.223,1762.261,2807.126,2435.62,1022.986,1622.607,1238.867,739.275,1184.519,1196.752,0.795921,0.713604,0.789436,True,17.16,3.85,8.19,3.18,1.83,1.74,1.2,1.05,1.0,10.0,13.0,13.0,63.0,109.0,102.0,0.7769,0.8312,0.8535,0.5706,0.1434,0.2075,4.0,12.0,10.0,training-validation_set_pair,0.32437226,nonpair
UB-UBE2D2-RNF13,UBE2D2,RNF13,P62837,O43567,7.243945598602295,4.124755859375,-50.76,-67.897,-52.344,1768.603,2962.085,2405.75,1040.066,1600.875,1327.449,728.537,1361.21,1078.301,0.778394,0.659687,0.801939,False,20.78,3.57,9.29,4.1,1.9,1.83,1.24,1.19,1.03,8.0,13.0,9.0,62.0,110.0,99.0,0.6861,0.8313,0.8866,0.5536,0.1594,0.2958,10.0,22.0,18.0,training-validation_set_pair,0.99555886,pair
UB-UBE2D2-TRIM3,UBE2D2,TRIM3,P62837,O75382,7.235718727111816,4.351024627685547,-49.93,-68.76,-50.56,1747.972,2786.236,2422.792,899.567,1464.43,1237.03,848.405,1321.806,1185.761,0.668933,0.573785,0.746202,True,22.28,21.17,11.27,4.97,4.35,2.01,1.57,1.4,1.12,9.0,13.0,8.0,62.0,108.0,101.0,0.5421,0.5502,0.8217,0.469,0.1235,0.2062,3.0,16.0,18.0,training-validation_set_pair,0.86941916,pair
UB-UBE2D2-MYCBP2,UBE2D2,MYCBP2,P62837,O75592,7.323570251464844,4.473762512207031,-34.532,-56.754,-27.555,1816.298,3090.352,2176.701,1248.615,1938.428,1202.165,567.683,1151.923,974.536,0.199368,0.013329,0.3008,False,21.38,15.22,20.94,8.06,10.56,8.2,2.54,8.15,2.7,2.0,9.0,7.0,69.0,119.0,88.0,0.1741,0.0405,0.1826,0.3436,0.0231,0.1485,7.0,21.0,21.0,training-validation_set_pair,0.08507475,nonpair
UB-UBE2D2-LTN1,UBE2D2,LTN1,P62837,O94822,7.224978446960449,3.8963077068328857,-58.886,-70.979,-57.435,2047.096,3087.535,2459.5,1150.935,1691.541,1301.047,896.161,1395.994,1158.454,0.744514,0.601482,0.736564,True,19.48,3.22,9.13,3.62,1.9,2.22,1.31,1.24,1.22,7.0,13.0,10.0,68.0,116.0,100.0,0.7144,0.8003,0.8393,0.5415,0.1827,0.2648,5.0,15.0,17.0,training-validation_set_pair,0.9920751,pair
UB-UBE2D2-TRIM37,UBE2D2,TRIM37,P62837,O94972,7.146257400512695,4.060249328613281,-53.96,-74.386,-58.506,2230.985,3274.555,2467.08,1096.652,1729.634,1308.218,1134.334,1544.92,1158.861,0.781109,0.716468,0.776398,True,18.3,3.19,7.87,3.34,1.71,1.83,1.25,1.03,1.08,13.0,17.0,12.0,71.0,117.0,105.0,0.7542,0.7789,0.8761,0.5726,0.2005,0.2782,7.0,14.0,17.0,training-validation_set_pair,0.99883085,pair
UB-UBE2D2-UBE4B,UBE2D2,UBE4B,P62837,O95155,7.288000583648682,3.929018020629883,-39.267,-63.52,-52.904,1738.276,2925.625,2324.773,1021.06,1584.529,1221.859,717.216,1341.096,1102.915,0.771743,0.619855,0.72948,True,19.66,3.55,2.55,3.81,2.32,1.73,1.27,1.46,1.08,6.0,10.0,10.0,64.0,110.0,99.0,0.7063,0.7506,0.818,0.5549,0.1094,0.1967,4.0,20.0,21.0,training-validation_set_pair,0.9703481,pair
UB-UBE2D2-CNOT4,UBE2D2,CNOT4,P62837,O95628,7.2838006019592285,4.148689270019531,-42.815,-70.586,-48.967,1742.345,2955.849,2292.067,985.144,1617.305,1359.65,757.201,1338.544,932.417,0.659244,0.453954,0.655038,False,20.22,5.54,13.62,4.81,2.96,2.43,1.68,1.85,1.25,6.0,13.0,7.0,67.0,112.0,99.0,0.5193,0.5745,0.7623,0.4653,0.1276,0.2296,6.0,27.0,27.0,training-validation_set_pair,0.5942888,pair
UB-UBE2D2-TRIM27,UBE2D2,TRIM27,P62837,P14373,7.25378942489624,4.090758323669434,-50.008,-67.561,-59.538,1940.893,2853.323,2604.37,1097.396,1584.217,1324.267,843.497,1269.106,1280.104,0.795972,0.669838,0.804182,True,17.92,5.95,11.28,3.28,2.38,1.87,1.18,1.11,1.01,6.0,11.0,11.0,67.0,111.0,106.0,0.7708,0.7903,0.886,0.5791,0.2377,0.2698,7.0,16.0,19.0,training-validation_set_pair,0.9946631,pair
UB-UBE2D2-TRIM21,UBE2D2,TRIM21,P62837,P19474,7.286462306976318,4.034085750579834,-54.977,-73.902,-61.275,2061.042,2951.028,2628.661,1095.78,1627.048,1297.921,965.262,1323.98,1330.74,0.790372,0.716332,0.81638,True,15.29,4.98,10.67,3.15,2.2,1.73,1.22,1.02,0.99,10.0,13.0,13.0,70.0,112.0,106.0,0.79,0.8201,0.779,0.5812,0.234,0.2101,6.0,19.0,20.0,training-validation_set_pair,0.96111345,pair
UB-UBE2D2-CBL,UBE2D2,CBL,P62837,P22681,7.264254570007324,4.124436378479004,-54.091,-71.12,-59.075,2113.18,3053.84,2616.923,1225.145,1638.215,1423.229,888.035,1415.625,1193.694,0.804188,0.725142,0.7941,True,16.94,5.45,11.0,3.04,2.2,2.36,1.17,1.07,0.97,9.0,12.0,11.0,80.0,123.0,104.0,0.7985,0.8423,0.8224,0.5826,0.194,0.3171,6.0,15.0,17.0,training-validation_set_pair,0.96358025,pair
UB-UBE2D2-TRIM23,UBE2D2,TRIM23,P62837,P36406,7.276590824127197,3.9531617164611816,-46.638,-69.797,-54.693,1721.853,2878.485,2396.772,931.251,1525.185,1229.198,790.602,1353.3,1167.575,0.772764,0.683028,0.764741,True,13.66,4.17,9.69,2.97,2.03,2.14,1.09,1.19,1.07,10.0,13.0,11.0,60.0,108.0,101.0,0.7939,0.8189,0.8148,0.5816,0.1092,0.231,3.0,16.0,17.0,training-validation_set_pair,0.94137675,pair
UB-UBE2D2-BRCA1,UBE2D2,BRCA1,P62837,P38398,7.242712020874023,3.946516275405884,-47.977,-66.196,-51.632,2049.558,3056.336,2530.546,1137.916,1578.967,1295.888,911.642,1477.369,1234.658,0.755348,0.623853,0.798489,False,20.67,4.64,8.7,3.9,2.5,2.06,1.32,1.25,1.02,5.0,11.0,8.0,69.0,114.0,102.0,0.6821,0.7333,0.8449,0.5413,0.1705,0.2513,3.0,13.0,15.0,training-validation_set_pair,0.99942195,pair
UB-UBE2D2-TTC3,UBE2D2,TTC3,P62837,P53804,7.803409576416016,5.730737686157227,-82.785,-108.212,-58.458,4053.081,5339.26,2409.325,2497.398,3259.279,1242.505,1555.684,2079.981,1166.82,0.341714,0.187553,0.420538,False,20.95,27.77,29.16,7.21,8.88,14.06,3.32,3.68,1.95,18.0,23.0,11.0,146.0,179.0,100.0,0.2125,0.1471,0.0328,0.3383,0.0529,0.2943,17.0,30.0,20.0,training-validation_set_pair,0.028375817,nonpair
UB-UBE2D2-RBX1,UBE2D2,RBX1,P62837,P62877,7.212314128875732,3.966429948806762,-53.499,-74.978,-56.729,2332.055,3155.153,2675.492,1179.08,1691.416,1270.911,1152.975,1463.737,1404.581,0.768255,0.636763,0.778695,False,15.38,25.75,9.46,3.39,4.96,2.06,1.27,1.48,1.06,9.0,15.0,14.0,81.0,118.0,110.0,0.7474,0.5269,0.7924,0.5582,0.1533,0.2853,11.0,19.0,17.0,training-validation_set_pair,0.9959876,pair
