PDB_ID,E2_UniProtIDs,E3_UniProtIDs,Ub_UniProtIDs,Number_of_Distinct_Protein_Entities,Resolution_Method,Refinement_Resolution,Release_Date,Nonpolymer_Entities,Entity_ID,Source_Organism,Gene_Name,Macromolecule_Name,Accession_Codes,EC_Number,E2_Gene_Names,E3_Gene_Names,ubiquitin_in_structure
3VON,"Q15819, P61088",,,3.0,X-ray refinement,3.15,1/30/2012,,"1, 2, 3",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens,"1:HSPC263, OTB1, OTU1, OTUB1|2:MMS2, UBE2V2, UEV2|3:BLU, Ubc13, UBE2N",1:Ubiquitin thioesterase OTUB1|2:Ubiquitin-conjugating enzyme E2 variant 2|3:Ubiquitin-conjugating enzyme E2 N,1:Q96FW1|2:Q15819|3:P61088,1:3.4.19.12|3:6.3.2.19,"UBE2V2,UBE2N",,No
6S96,Q16763,,,1.0,X-ray refinement,2.18,7/11/2019,"FORMIC ACID,SODIUM ION",1,1:Homo sapiens,"1:UBE2S, E2EPF, OK/SW-cl.73",1:Ubiquitin-conjugating enzyme E2 S,1:Q16763,1:2.3.2.23,UBE2S,,No
6QHK,Q16763,,,1.0,X-ray refinement,1.96,1/16/2019,"1,2-ETHANEDIOL,CHLORIDE ION,Phenylarsine oxide",1,1:Homo sapiens,"1:UBE2S, E2EPF, OK/SW-cl.73",1:Ubiquitin-conjugating enzyme E2 S,1:Q16763,1:2.3.2.23,UBE2S,,No
7AHF,Q16763,,,1.0,X-ray refinement,2.15,9/24/2020,"1,2-ETHANEDIOL,GLYCEROL",1,1:Homo sapiens,"1:UBE2S, E2EPF, OK/SW-cl.73",1:Ubiquitin-conjugating enzyme E2 S,1:Q16763,1:2.3.2.23,UBE2S,,No
6S98,Q16763,,,1.0,X-ray refinement,1.55,7/11/2019,"1,2-ETHANEDIOL,ACETATE ION,SODIUM ION",1,1:Homo sapiens,"1:UBE2S, E2EPF, OK/SW-cl.73",1:Ubiquitin-conjugating enzyme E2 S,1:Q16763,1:2.3.2.23,UBE2S,,No
1YH2,Q9NPD8,,,1.0,X-ray refinement,2.0,1/6/2005,,1,1:Homo sapiens,1:HSPC150,1:HSPC150 protein similar to ubiquitin-conjugating enzyme,1:Q9NPD8,,UBE2T,,No
8JVD,Q9NPD8,,,1.0,X-ray refinement,1.696,6/28/2023,"5-fluoranyl-1,3-benzoxazol-2-amine",1,1:Homo sapiens,1:UBE2T,1:Ubiquitin-conjugating enzyme E2 T,1:Q9NPD8,1:2.3.2.23,UBE2T,,No
5NGZ,Q9NPD8,,,1.0,X-ray refinement,2.4,3/21/2017,"1-(1,3-benzothiazol-2-yl)methanamine",1,1:Homo sapiens,"1:UBE2T, HSPC150, PIG50",1:Ubiquitin-conjugating enzyme E2 T,1:Q9NPD8,1:2.3.2.23,UBE2T,,No
6R75,Q9NPD8,,,1.0,X-ray refinement,2.0,3/28/2019,,1,1:Homo sapiens,"1:UBE2T, HSPC150, PIG50",1:Ubiquitin-conjugating enzyme E2 T,1:Q9NPD8,1:2.3.2.23,UBE2T,,No
8JUC,Q9NPD8,,,1.0,X-ray refinement,1.54,6/26/2023,"1,2-ETHANEDIOL,7-methyl-2-(trifluoromethyl)-3~{H}-[1,2,4]triazolo[1,5-a]pyridin-5-one",1,1:Homo sapiens,1:UBE2T,1:Ubiquitin-conjugating enzyme E2 T,1:Q9NPD8,1:2.3.2.23,UBE2T,,No
8JVE,Q9NPD8,,,1.0,X-ray refinement,1.76,6/28/2023,"1,2-ETHANEDIOL,1-(3-methoxyphenyl)-1,2,3,4-tetrazole",1,1:Homo sapiens,1:UBE2T,1:Ubiquitin-conjugating enzyme E2 T,1:Q9NPD8,1:2.3.2.23,UBE2T,,No
8JVL,Q9NPD8,,,1.0,X-ray refinement,2.06,6/28/2023,"1,2-ETHANEDIOL,1-(4-methoxyphenyl)-1,2,3,4-tetrazole",1,1:Homo sapiens,1:UBE2T,1:Ubiquitin-conjugating enzyme E2 T,1:Q9NPD8,1:2.3.2.23,UBE2T,,No
5L9T,Q16763,Q9NYG5,P0CG47,17.0,EM: FSC 0.143 CUT-OFF,6.4,6/11/2016,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|5:Homo sapiens|6:Homo sapiens|7:Homo sapiens|8:Homo sapiens|9:Homo sapiens|10:Homo sapiens|11:Homo sapiens|12:Homo sapiens|13:Homo sapiens|14:Homo sapiens|15:Homo sapiens|16:Homo sapiens|17:Homo sapiens,"1:ANAPC1, TSG24|2:ANAPC11, HSPC214|3:CDC23, ANAPC8|4:ANAPC15, C11orf51, HSPC020|5:ANAPC16, C10orf104, CENP-27|6:CDC27, ANAPC3, D0S1430E, D17S978E|7:CDC26, ANAPC12, C9orf17|8:ANAPC4, APC4|9:CDC16, ANAPC6|10:ANAPC10, APC10|11:ANAPC13|12:ANAPC2, APC2, KIAA1406|13:ANAPC5, APC5|14:FZR1, CDH1, FYR, FZR, KIAA1242|15:UBB|16:UBE2S, E2EPF, OK/SW-cl.73|17:ANAPC7, APC7",1:Anaphase-promoting complex subunit 1|2:Anaphase-promoting complex subunit 11|3:Cell division cycle protein 23 homolog|4:Anaphase-promoting complex subunit 15|5:Anaphase-promoting complex subunit 16|6:Cell division cycle protein 27 homolog|7:Anaphase-promoting complex subunit CDC26|8:Anaphase-promoting complex subunit 4|9:Cell division cycle protein 16 homolog|10:Anaphase-promoting complex subunit 10|11:Anaphase-promoting complex subunit 13|12:Anaphase-promoting complex subunit 2|13:Anaphase-promoting complex subunit 5|14:Fizzy-related protein homolog|15:Ubiquitin_variant-Hsl1(substrate) fusion|16:Ubiquitin-conjugating enzyme E2 S|17:Anaphase-promoting complex subunit 7,"1:Q9H1A4|2:Q9NYG5|3:Q9UJX2|4:P60006|5:Q96DE5|6:P30260|7:Q8NHZ8|8:Q9UJX5|9:Q13042|10:Q9UM13|11:Q9BS18|12:Q9UJX6|13:Q9UJX4|14:Q9UM11|15:P0CG47,P34244|16:Q16763|17:Q9UJX3",15:2.7.11.1|16:2.3.2.23,UBE2S,ANAPC11,Yes
5BNB,Q16763,,P0CG47,2.0,X-ray refinement,2.49,5/25/2015,,"1, 2",1:Homo sapiens|2:Homo sapiens,"1:UBE2S, E2EPF, OK/SW-cl.73|2:UBB",1:Ubiquitin-conjugating enzyme E2 S|2:Polyubiquitin-B,1:Q16763|2:P0CG47,1:6.3.2.19,UBE2S,,Yes
5OJJ,Q9NPD8,,,1.0,X-ray refinement,1.85,7/21/2017,"2-AMINO-2-HYDROXYMETHYL-PROPANE-1,3-DIOL,ACETATE ION,ZINC ION",1,1:Homo sapiens,"1:UBE2T, HSPC150, PIG50",1:Ubiquitin-conjugating enzyme E2 T,1:Q9NPD8,1:2.3.2.23,UBE2T,,No
4CCG,Q9NPD8,Q9NW38,,2.0,X-ray refinement,2.4,10/22/2013,"4-(2-HYDROXYETHYL)-1-PIPERAZINE ETHANESULFONIC ACID,AMMONIUM ION,CHLORIDE ION,GLYCEROL,SODIUM ION,SULFATE ION,ZINC ION","1, 2",1:HOMO SAPIENS|2:HOMO SAPIENS,,1:UBIQUITIN-CONJUGATING ENZYME E2 T|2:E3 UBIQUITIN-PROTEIN LIGASE FANCL,1:Q9NPD8|2:Q9NW38,2:6.3.2.-,UBE2T,FANCL,No
7KZR,Q9NPD8,Q9NW38,,12.0,X-ray refinement,4.4,12/10/2020,ZINC ION,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|5:Homo sapiens|6:Homo sapiens|7:Homo sapiens|8:Homo sapiens|10:Homo sapiens|11:Homo sapiens|12:Homo sapiens,"1:FANCA, FAA, FACA, FANCH|2:FANCB|3:FANCC, FAC, FACC|4:FANCE, FACE|5:FANCF|6:FANCG, XRCC9|7:FANCL, PHF9|8:FAAP100, C17orf70|10:FANCI|11:FANCD2, FACD|12:UBE2T, HSPC150, PIG50","1:Fanconi anemia group A protein|2:Fanconi anemia group B protein|3:Fanconi anemia group C protein|4:Fanconi anemia group E protein|5:Fanconi anemia group F protein|6:Fanconi anemia group G protein|7:E3 ubiquitin-protein ligase FANCL|8:Fanconi anemia core complex-associated protein 100|9:Fanconi anemia core complex-associated protein 20|10:Fanconi anemia, complementation group I|11:Fanconi anemia group D2 protein|12:Ubiquitin-conjugating enzyme E2 T",1:O15360|2:Q8NB91|3:Q00597|4:Q9HB96|5:Q9NPI8|6:O15287|7:Q9NW38|8:Q0VG06|10:B7ZMF2|11:Q9BXW9|12:Q9NPD8,7:2.3.2.27|12:2.3.2.23,UBE2T,FANCL,No
7KZV,Q9NPD8,Q9NW38,,14.0,X-ray refinement,4.2,12/10/2020,ZINC ION,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|5:Homo sapiens|6:Homo sapiens|7:Homo sapiens|8:Homo sapiens|10:Homo sapiens|11:Homo sapiens|12:Homo sapiens,"1:FANCA, FAA, FACA, FANCH|2:FANCB|3:FANCC, FAC, FACC|4:FANCE, FACE|5:FANCF|6:FANCG, XRCC9|7:FANCL, PHF9|8:FAAP100, C17orf70|10:UBE2T, HSPC150, PIG50|11:FANCI|12:FANCD2, FACD","1:Fanconi anemia group A protein|2:Fanconi anemia group B protein|3:Fanconi anemia group C protein|4:Fanconi anemia group E protein|5:Fanconi anemia group F protein|6:Fanconi anemia group G protein|7:E3 ubiquitin-protein ligase FANCL|8:Fanconi anemia core complex-associated protein 100|9:Fanconi anemia core complex-associated protein 20|10:Ubiquitin-conjugating enzyme E2 T|11:Fanconi anemia, complementation group I|12:Fanconi anemia group D2 protein|13:DNA (29-MER)|14:DNA (29-MER)",1:O15360|2:Q8NB91|3:Q00597|4:Q9HB96|5:Q9NPI8|6:O15287|7:Q9NW38|8:Q0VG06|10:Q9NPD8|11:B7ZMF2|12:Q9BXW9,7:2.3.2.27|10:2.3.2.23,UBE2T,FANCL,No
1YRV,Q5VVX9,,,1.0,X-ray refinement,2.18,2/4/2005,,1,1:Homo sapiens,1:MGC35130,1:ubiquitin-conjugating ligase MGC351130,1:Q5VVX9,1:6.3.2.19,UBE2U,,No
7KZT,Q9NPD8,Q9NW38,,14.0,X-ray refinement,4.2,12/10/2020,ZINC ION,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|5:Homo sapiens|6:Homo sapiens|7:Homo sapiens|8:Homo sapiens|10:Homo sapiens|11:Homo sapiens|12:Homo sapiens,"1:FANCA, FAA, FACA, FANCH|2:FANCB|3:FANCC, FAC, FACC|4:FANCE, FACE|5:FANCF|6:FANCG, XRCC9|7:FANCL, PHF9|8:FAAP100, C17orf70|10:UBE2T, HSPC150, PIG50|11:FANCI|12:FANCD2, FACD","1:Fanconi anemia group A protein|2:Fanconi anemia group B protein|3:Fanconi anemia group C protein|4:Fanconi anemia group E protein|5:Fanconi anemia group F protein|6:Fanconi anemia group G protein|7:E3 ubiquitin-protein ligase FANCL|8:Fanconi anemia core complex-associated protein 100|9:Fanconi anemia core complex-associated protein 20|10:Ubiquitin-conjugating enzyme E2 T|11:Fanconi anemia, complementation group I|12:Fanconi anemia group D2 protein|13:DNA (22-MER)|14:DNA (22-MER)",1:O15360|2:Q8NB91|3:Q00597|4:Q9HB96|5:Q9NPI8|6:O15287|7:Q9NW38|8:Q0VG06|10:Q9NPD8|11:B7ZMF2|12:Q9BXW9,7:2.3.2.27|10:2.3.2.23,UBE2T,FANCL,No
2A4D,Q13404,,,1.0,X-ray refinement,1.69,6/28/2005,,1,1:Homo sapiens,"1:UBE2V1, CROC1, UBE2V, UEV1",1:Ubiquitin-conjugating enzyme E2 variant 1,1:Q13404,1:6.3.2.19,UBE2V1,,No
1J74,Q15819,,,1.0,X-ray refinement,1.9,5/15/2001,,1,1:Homo sapiens,,1:MMS2,1:Q15819,,UBE2V2,,No
8WR5,Q15819,,,1.0,X-ray refinement,1.7,10/13/2023,"1,2-ETHANEDIOL,SULFATE ION",1,1:Homo sapiens,"1:UBE2V2, MMS2, UEV2",1:Ubiquitin-conjugating enzyme E2 variant 2,1:Q15819,,UBE2V2,,No
7KZS,Q9NPD8,Q9NW38,,14.0,X-ray refinement,4.2,12/10/2020,ZINC ION,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|5:Homo sapiens|6:Homo sapiens|7:Homo sapiens|8:Homo sapiens|10:Homo sapiens|11:Homo sapiens|12:Homo sapiens,"1:FANCA, FAA, FACA, FANCH|2:FANCB|3:FANCC, FAC, FACC|4:FANCE, FACE|5:FANCF|6:FANCG, XRCC9|7:FANCL, PHF9|8:FAAP100, C17orf70|10:UBE2T, HSPC150, PIG50|11:FANCI|12:FANCD2, FACD","1:Fanconi anemia group A protein|2:Fanconi anemia group B protein|3:Fanconi anemia group C protein|4:Fanconi anemia group E protein|5:Fanconi anemia group F protein|6:Fanconi anemia group G protein|7:E3 ubiquitin-protein ligase FANCL|8:Fanconi anemia core complex-associated protein 100|9:Fanconi anemia core complex-associated protein 20|10:Ubiquitin-conjugating enzyme E2 T|11:Fanconi anemia, complementation group I|12:Fanconi anemia group D2 protein|13:DNA (25-MER)|14:DNA (25-MER)",1:O15360|2:Q8NB91|3:Q00597|4:Q9HB96|5:Q9NPI8|6:O15287|7:Q9NW38|8:Q0VG06|10:Q9NPD8|11:B7ZMF2|12:Q9BXW9,7:2.3.2.27|10:2.3.2.23,UBE2T,FANCL,No
2A7L,Q96B02,,,1.0,X-ray refinement,1.82,7/5/2005,SODIUM ION,1,1:Homo sapiens,1:FLJ11011,1:Hypothetical ubiquitin-conjugating enzyme LOC55284,1:Q96B02,1:6.3.2.19,UBE2W,,No
2HLW,Q13404,,,1.0,,,7/10/2006,,1,1:Homo sapiens,1:UEV1,1:Ubiquitin-conjugating enzyme E2 variant 1,1:Q13404,,UBE2V1,,No
8A58,Q96B02,P19474,,2.0,X-ray refinement,2.25,6/14/2022,ZINC ION,"1, 2",1:Homo sapiens|2:Homo sapiens,"1:UBE2W, UBC16|2:TRIM21, RNF81, RO52, SSA1",1:Ubiquitin-conjugating enzyme E2 W|2:E3 ubiquitin-protein ligase TRIM21,1:Q96B02|2:P19474,"1:2.3.2.23,2.3.2.25|2:2.3.2.27",UBE2W,TRIM21,No
5A4P,Q9H832,,,1.0,X-ray refinement,2.1,6/11/2015,"DI(HYDROXYETHYL)ETHER,MALONATE ION",1,1:HOMO SAPIENS,,1:UBIQUITIN-CONJUGATING ENZYME E2 Z,1:Q9H832,1:6.3.2.19,UBE2Z,,No
1ZGU,Q15819,,,2.0,,,4/22/2005,,"1, 2",1:Homo sapiens|2:Homo sapiens,"1:UBE2V2, MMS2",1:Ubiquitin-conjugating enzyme E2 variant 2|2:Ubiquitin,1:Q15819|2:P61864,,UBE2V2,,No
4KC9,,Q9Y4X5,,1.0,X-ray refinement,3.603,4/24/2013,ZINC ION,1,1:Homo sapiens,"1:ARIH1, ARI, MOP6, UBCH7BP, HUSSY-27",1:E3 ubiquitin-protein ligase ARIH1,1:Q9Y4X5,1:6.3.2.-,,ARIH1,No
2M9Y,,Q9Y4X5,,1.0,,,6/24/2013,ZINC ION,1,1:Homo sapiens,"1:ARIH1, ARI, MOP6, UBCH7BP, HUSSY-27",1:E3 ubiquitin-protein ligase ARIH1,1:Q9Y4X5,1:6.3.2.-,,ARIH1,No
1WD2,,Q9Y4X5,,1.0,,,5/11/2004,ZINC ION,1,1:Homo sapiens,,1:Ariadne-1 protein homolog,1:Q9Y4X5,1:6.3.2.19,,ARIH1,No
2MT6,Q96B02,,,1.0,,,8/14/2014,,1,1:Homo sapiens,"1:UBE2W, UBC16",1:Ubiquitin-conjugating enzyme E2 W,1:Q96B02,1:6.3.2.19,UBE2W,,No
7B5S,,"Q9Y4X5, P62877",,3.0,EM: FSC 0.143 CUT-OFF,3.6,12/7/2020,ZINC ION,"1, 2, 3",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens,"1:CUL1|2:ARIH1, ARI, MOP6, UBCH7BP, HUSSY-27|3:RBX1, RNF75, ROC1",1:Cullin-1|2:E3 ubiquitin-protein ligase ARIH1|3:E3 ubiquitin-protein ligase RBX1,1:Q13616|2:Q9Y4X5|3:P62877,"2:2.3.2.31|3:2.3.2.27,2.3.2.32",,"ARIH1,RBX1",No
4KBL,,Q9Y4X5,,1.0,X-ray refinement,3.3,4/23/2013,ZINC ION,1,1:Homo sapiens,"1:ARIH1, ARI, MOP6, UBCH7BP, HUSSY-27",1:E3 ubiquitin-protein ligase ARIH1,1:Q9Y4X5,1:6.3.2.-,,ARIH1,No
7B5M,,"Q9Y4X5, P62877",P0CG48,8.0,EM: FSC 0.143 CUT-OFF,3.91,12/5/2020,ZINC ION,"1, 2, 3, 4, 5, 6, 7, 8",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|5:Homo sapiens|6:Homo sapiens|7:Homo sapiens|8:Homo sapiens,"1:CUL1|2:ARIH1, ARI, MOP6, UBCH7BP, HUSSY-27|3:SKP2, FBXL1|4:CKS1B, CKS1, PNAS-143, PNAS-16|5:SKP1, EMC19, OCP2, SKP1A, TCEB1L|6:UBC|7:RBX1, RNF75, ROC1|8:CDKN1B, KIP1",1:Cullin-1|2:E3 ubiquitin-protein ligase ARIH1|3:S-phase kinase-associated protein 2|4:Cyclin-dependent kinases regulatory subunit 1|5:S-phase kinase-associated protein 1|6:Polyubiquitin-C|7:E3 ubiquitin-protein ligase RBX1|8:Cyclin-dependent kinase inhibitor 1B,1:Q13616|2:Q9Y4X5|3:Q13309|4:P61024|5:P63208|6:P0CG48|7:P62877|8:P46527,"2:2.3.2.31|7:2.3.2.27,2.3.2.32",,"ARIH1,RBX1",Yes
8IKM,,O60260,,3.0,X-ray refinement,1.92,2/28/2023,"DI(HYDROXYETHYL)ETHER,GLYCEROL,ZINC ION","1, 2, 3",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens,"1:PRKN, PARK2|2:UBA52, UBCEP2|3:PRKN, PARK2",1:E3 ubiquitin-protein ligase parkin|2:Ubiquitin|3:E3 ubiquitin-protein ligase parkin,1:O60260|2:P62987|3:O60260,1:2.3.2.31|3:2.3.2.31,,PRKN,No
4BM9,,O60260,,1.0,X-ray refinement,2.25,5/7/2013,"GLYCEROL,SULFATE ION,ZINC ION",1,1:HOMO SAPIENS,,1:E3 UBIQUITIN-PROTEIN LIGASE PARKIN,1:O60260,1:6.3.2.-,,PRKN,No
4I1F,,O60260,,1.0,X-ray refinement,1.58,11/20/2012,"BARIUM ION,ZINC ION",1,1:Homo sapiens,"1:PARK2, PRKN",1:E3 ubiquitin-protein ligase parkin,1:O60260,1:6.3.2.-,,PRKN,No
1IYF,,O60260,,1.0,,,8/13/2002,,1,1:Homo sapiens,,1:parkin,1:O60260,1:6.3.2.19,,PRKN,No
4I1H,,O60260,,1.0,X-ray refinement,2.0,11/20/2012,ZINC ION,1,1:Homo sapiens,"1:PARK2, PRKN",1:E3 ubiquitin-protein ligase parkin,1:O60260,1:6.3.2.-,,PRKN,No
5C23,,O60260,,1.0,X-ray refinement,2.37,6/15/2015,"CHLORIDE ION,GLYCEROL,SULFATE ION,ZINC ION",1,1:Homo sapiens,"1:PARK2, PRKN",1:E3 ubiquitin-protein ligase parkin,1:O60260,1:6.3.2.-,,PRKN,No
2JMO,,O60260,,1.0,,,11/24/2006,ZINC ION,1,1:Homo sapiens,"1:PARK2, PRKN",1:Parkin,1:O60260,1:6.3.2.-,,PRKN,No
5C9V,,O60260,,1.0,X-ray refinement,2.35,6/29/2015,"GLYCEROL,SULFATE ION,ZINC ION",1,1:Homo sapiens,"1:PARK2, PRKN",1:E3 ubiquitin-protein ligase parkin,1:O60260,1:6.3.2.-,,PRKN,No
5C1Z,,O60260,,1.0,X-ray refinement,1.79,6/15/2015,"CHLORIDE ION,GLYCEROL,SULFATE ION,ZINC ION",1,1:Homo sapiens,"1:PARK2, PRKN",1:E3 ubiquitin-protein ligase parkin,1:O60260,1:6.3.2.-,,PRKN,No
8JWV,,O60260,,1.0,X-ray refinement,2.9,6/29/2023,"BARIUM ION,GLYCEROL,ZINC ION",1,1:Homo sapiens,"1:PRKN, PARK2",1:E3 ubiquitin-protein ligase parkin,1:O60260,1:2.3.2.31,,PRKN,No
8IKT,,O60260,,3.0,X-ray refinement,2.6,3/1/2023,"(4S)-2-METHYL-2,4-PENTANEDIOL,3-AMINOPROPANE,GLYCEROL,ZINC ION","1, 2, 3",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens,"1:PRKN, PARK2|2:UBA52, UBCEP2|3:PRKN, PARK2",1:E3 ubiquitin-protein ligase parkin|2:Ubiquitin|3:E3 ubiquitin-protein ligase parkin,1:O60260|2:P62987|3:O60260,1:2.3.2.31|3:2.3.2.31,,PRKN,No
6HUE,,O60260,,1.0,X-ray refinement,2.85,10/7/2018,"CHLORIDE ION,GLYCEROL,SULFATE ION,ZINC ION",1,1:Homo sapiens,"1:PRKN, PARK2",1:E3 ubiquitin-protein ligase parkin,1:O60260,1:2.3.2.31,,PRKN,No
8IK6,,O60260,,2.0,X-ray refinement,3.3,2/28/2023,"SULFATE ION,ZINC ION","1, 2",1:Homo sapiens|2:Homo sapiens,"1:PRKN, PARK2|2:UBA52, UBCEP2",1:E3 ubiquitin-protein ligase parkin|2:Ubiquitin,1:O60260|2:P62987,1:2.3.2.31,,PRKN,No
8WZN,,O60260,,2.0,X-ray refinement,1.8,11/2/2023,"DI(HYDROXYETHYL)ETHER,ZINC ION","1, 2",1:Homo sapiens|2:Homo sapiens,1:PRKN|2:NEDD8,1:E3 ubiquitin-protein ligase parkin|2:NEDD8,1:O60260|2:Q15843,,,PRKN,No
8IKV,,O60260,,2.0,X-ray refinement,2.35,3/1/2023,"DI(HYDROXYETHYL)ETHER,ZINC ION","1, 2",1:Homo sapiens|2:Homo sapiens,"1:PRKN, PARK2|2:UBA52, UBCEP2",1:E3 ubiquitin-protein ligase parkin|2:Ubiquitin,1:O60260|2:P62987,1:2.3.2.31,,PRKN,No
8WZO,,O60260,,2.0,X-ray refinement,2.25,11/2/2023,"1,2-ETHANEDIOL,ZINC ION","1, 2",1:Homo sapiens|2:Homo sapiens,1:PRKN|2:NEDD8,1:E3 ubiquitin-protein ligase parkin|2:NEDD8,1:O60260|2:Q15843,,,PRKN,No
5N2W,,O60260,P0CG47,2.0,X-ray refinement,2.68,2/8/2017,"CHLORIDE ION,ZINC ION,trimethylamine oxide","1, 2",1:Homo sapiens|2:Homo sapiens,"1:PARK2, PRKN|2:UBB","1:E3 ubiquitin-protein ligase parkin,E3 ubiquitin-protein ligase parkin|2:Polyubiquitin-B",1:O60260|2:P0CG47,"1:2.3.2.-,2.3.2.-",,PRKN,Yes
5N38,,O60260,P0CG47,2.0,X-ray refinement,2.6,2/8/2017,"CHLORIDE ION,DI(HYDROXYETHYL)ETHER,ZINC ION","1, 2",1:Homo sapiens|2:Homo sapiens,"1:PARK2, PRKN|2:UBB","1:E3 ubiquitin-protein ligase parkin,E3 ubiquitin-protein ligase parkin|2:Polyubiquitin-B",1:O60260|2:P0CG47,"1:2.3.2.-,2.3.2.-",,PRKN,Yes
6GLC,,O60260,P0CG47,2.0,X-ray refinement,1.8,5/23/2018,"(4S)-2-METHYL-2,4-PENTANEDIOL,GLYCEROL,SULFATE ION,ZINC ION","1, 2",1:Homo sapiens|2:Homo sapiens,"1:PRKN, PARK2|2:UBB",1:E3 ubiquitin-protein ligase parkin|2:Polyubiquitin-B,1:O60260|2:P0CG47,1:2.3.2.31,,PRKN,Yes
5TR5,,O60260,,1.0,,,10/25/2016,,1,1:Homo sapiens,"1:PARK2, PRKN",1:E3 ubiquitin-protein ligase parkin,1:O60260,1:6.3.2.-,,PRKN,No
6L99,,P50876,,1.0,,,11/8/2019,ZINC ION,1,,,1:E3 ubiquitin-protein ligase RNF144A,1:P50876,1:2.3.2.31,,RNF144A,No
2JUF,,Q8IWT3,,1.0,,,8/23/2007,,1,1:Homo sapiens,"1:PARC, H7AP1, KIAA0708",1:p53-associated parkin-like cytoplasmic protein,1:Q8IWT3,,,CUL9,No
1WIM,,P50876,,1.0,,,5/28/2004,ZINC ION,1,1:Homo sapiens,1:KAZUSA cDNA ha02800,1:KIAA0161 protein,1:P50876,,,RNF144A,No
2CRC,,Q9BYM8,,1.0,,,5/20/2005,ZINC ION,1,1:Homo sapiens,1:UBCE7IP3,1:Ubiquitin conjugating enzyme 7 interacting protein 3,1:Q9BYM8,,,RBCK1,No
8RHZ,,"Q8IWT3, P62877",,2.0,EM: FSC 0.143 CUT-OFF,3.37,12/17/2023,ZINC ION,"1, 2",1:Homo sapiens|2:Homo sapiens,"1:CUL9, H7AP1, KIAA0708, PARC|2:RBX1, RNF75, ROC1",1:Cullin-9|2:E3 ubiquitin-protein ligase RBX1,1:Q8IWT3|2:P62877,"2:2.3.2.27,2.3.2.32",,"CUL9,RBX1",No
7YUJ,,Q9BYM8,,1.0,X-ray refinement,1.865,8/17/2022,"DI(HYDROXYETHYL)ETHER,ZINC ION",1,1:Homo sapiens,1:RBCK1,1:RanBP-type and C3HC4-type zinc finger-containing protein 1,1:Q9BYM8,1:2.3.2.31,,RBCK1,No
8Q7H,,"Q8IWT3, P62877",,4.0,EM: FSC 0.143 CUT-OFF,4.1,8/16/2023,ZINC ION,"1, 2, 3, 4",1:Homo sapiens|2:Homo sapiens,"1:CUL9, H7AP1, KIAA0708, PARC|2:RBX1, RNF75, ROC1",1:Cullin-9|2:E3 ubiquitin-protein ligase RBX1|3:NEDD8|4:Unknown,1:Q8IWT3|2:P62877|3:Q15843,"2:2.3.2.27,2.3.2.32",,"CUL9,RBX1",No
8BVL,,Q9BYM8,,1.0,X-ray refinement,2.24,12/4/2022,ZINC ION,1,1:Homo sapiens,"1:RBCK1, C20orf18, RNF54, UBCE7IP3, XAP3, XAP4",1:RanBP-type and C3HC4-type zinc finger-containing protein 1,1:Q9BYM8,1:2.3.2.31,,RBCK1,No
8K6Q,,Q9BYM8,,1.0,X-ray refinement,1.59,7/25/2023,,1,1:Homo sapiens,"1:RBCK1, C20orf18, RNF54, UBCE7IP3, XAP3, XAP4",1:RanBP-type and C3HC4-type zinc finger-containing protein 1,1:Q9BYM8,1:2.3.2.31,,RBCK1,No
7V8E,,Q9BYM8,,2.0,X-ray refinement,1.9,8/22/2021,,"1, 2",1:Shigella flexneri 5a str. M90T|2:Homo sapiens,1:ipaH1.4,1:RING-type E3 ubiquitin transferase|2:RanBP-type and C3HC4-type zinc finger-containing protein 1,1:Q9AFJ5|2:Q9BYM8,1:2.3.2.27|2:2.3.2.31,,RBCK1,No
7YUI,,Q9BYM8,P0CG48,2.0,X-ray refinement,2.599,8/17/2022,ZINC ION,"1, 2",1:Homo sapiens|2:Homo sapiens,1:UBC|2:RBCK1,1:Polyubiquitin-C|2:RanBP-type and C3HC4-type zinc finger-containing protein 1,1:P0CG48|2:Q9BYM8,2:2.3.2.31,,RBCK1,Yes
